,page_id,page_title,page_namespace,rev_timestamp,views,views_mean,views_median,views_sum,views_peak
0,61505,"""Asega""",0,20221218172115,"[0, 0, 0]",0.0,0.0,0.0,0.0
1,56201,"""Manga""",0,20220514212402,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.05263157894736842,0.0,1.0,1.0
2,60136,0ma_yardeko_aK,0,20221023185149,"[0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.36363636363636365,0.0,4.0,1.0
3,61024,10-i_Blok_Post,0,20221130131921,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,0.0,0.0
4,59521,10th_Legion,0,20221003120149,"[0, 0, 0, 0, 1]",0.2,0.0,1.0,4.0
5,59520,10th_Legion_Championship_Fighting,0,20221003120102,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]",0.18181818181818182,0.0,2.0,4.0
6,57104,1ma_Kitayevka,0,20220610150232,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",0.1,0.0,1.0,1.0
7,56983,1ma_Lipovec,0,20220605210816,"[1, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]",0.38461538461538464,0.0,5.0,1.0
8,57110,1ma_Nikolskoye,0,20220611121058,"[0, 0, 0, 0, 0, 0, 2, 0, 0, 0]",0.2,0.0,2.0,6.0
9,54605,2001_Mars_Odyssey,0,20220110111036,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0.08695652173913043,0.0,2.0,21.0
10,57105,2ma_Kitayevka,0,20220610151024,"[4, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",0.46153846153846156,0.0,6.0,0.0
11,56984,2ma_Lipovec,0,20220605211653,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.1,0.0,1.0,0.0
12,57111,2ma_Nikolskoye_(Medvenka),0,20220611122306,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.06666666666666667,0.0,1.0,1.0
13,57112,2ma_Nikolskoye_(homonimo),0,20220611122602,"[0, 1, 0]",0.3333333333333333,0.0,1.0,1.0
14,59012,2ma_mondomilito,0,20220917215118,"[7, 0, 0, 0, 1, 1, 0, 0, 0, 0]",0.9,0.0,9.0,0.0
15,55259,3000_aK,0,20220413182731,"[0, 0, 1, 0, 0, 0, 0, 0, 0]",0.1111111111111111,0.0,1.0,2.0
16,56549,4000_aK,0,20220521120908,"[0, 0, 2]",0.6666666666666666,0.0,2.0,2.0
17,57778,4ma_krucomilito,0,20220723213803,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3]",0.19047619047619047,0.0,4.0,20.0
18,56550,5200_aK,0,20220521120941,"[0, 0, 0, 2, 0, 1]",0.5,0.0,3.0,3.0
19,56551,530_aK,0,20220521121017,"[1, 0, 1, 0, 0, 2, 0]",0.5714285714285714,0.0,4.0,5.0
20,56552,545_aK,0,20220521121055,"[0, 0, 0, 0, 1, 2, 1, 1]",0.625,0.5,5.0,5.0
21,55029,6-dia_milito,0,20220309113629,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]",0.15384615384615385,0.0,2.0,3.0
22,56553,600_aK,0,20220521121115,"[0, 0, 0, 0, 1, 2, 0]",0.42857142857142855,0.0,3.0,5.0
23,56554,700_aK,0,20220521121140,"[0, 0, 2, 0, 1]",0.6,0.0,3.0,2.0
24,56941,708_aK,0,20220604023827,"[0, 2, 1, 1, 0, 0, 0, 0]",0.5,0.0,4.0,1.0
25,60135,9ma_yardeko_aK,0,20221023185134,"[0, 1, 0, 0, 0, 0, 0, 0]",0.125,0.0,1.0,1.0
26,59648,AAAW_Junior_Heavyweight_Tag_Team_Championship,0,20221005222342,"[0, 0, 0, 0, 0, 0, 1]",0.14285714285714285,0.0,1.0,6.0
27,59647,AAAW_Tag_Team_Championship,0,20221005222203,"[1, 0, 0, 0, 0, 0, 0, 0]",0.125,0.0,1.0,0.0
28,58984,ACA,0,20220917133243,"[1, 0, 0, 0, 1, 0, 0]",0.2857142857142857,0.0,2.0,0.0
29,58983,ACB,0,20220917133214,"[1, 1, 0, 0, 2, 1, 0, 0]",0.625,0.5,5.0,4.0
30,59581,AFC,0,20221004141428,"[0, 0, 0, 0, 0, 0, 0]",0.0,0.0,0.0,0.0
31,59493,AJKF,0,20221003110119,"[0, 0, 0, 0]",0.0,0.0,0.0,0.0
32,59673,AJP,0,20221006092118,"[0, 0, 0]",0.0,0.0,0.0,0.0
33,59672,AJPW,0,20221006092101,"[0, 0, 0]",0.0,0.0,0.0,0.0
34,59656,AJW,0,20221005224352,"[0, 0, 0, 0, 0, 0]",0.0,0.0,0.0,0.0
35,58979,AMC,0,20220917131822,"[1, 0, 0, 0, 0, 0, 0]",0.14285714285714285,0.0,1.0,0.0
36,58977,AMC_Fight_Nights,0,20220917131139,"[1, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0]",0.3076923076923077,0.0,4.0,6.0
37,59525,AMMA,0,20221003122226,"[0, 0, 0, 0, 0]",0.0,0.0,0.0,0.0
38,59584,AMMAF,0,20221004145000,"[0, 0, 0, 0]",0.0,0.0,0.0,0.0
39,59528,AOW,0,20221003122904,"[0, 0, 0]",0.0,0.0,0.0,0.0
40,59762,APFA,0,20221008094819,"[0, 0, 0, 0, 0]",0.0,0.0,0.0,0.0
41,60066,Aaron_Bohrod,0,20221019193751,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,0.0,0.0
42,61295,Abadeyo_di_Egmond,0,20221211204826,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.06666666666666667,0.0,1.0,1.0
43,57992,Abado_Guignon,0,20220806192945,"[3, 0, 0, 1]",1.0,0.5,4.0,0.0
44,57734,Abajas,0,20220718090556,"[1, 0, 11, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.8125,0.0,13.0,2.0
45,57676,Abakan_(homonimo),0,20220716202608,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.047619047619047616,0.0,1.0,5.0
46,59225,Abaý_Qunanbaýulı,0,20220925165048,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.04,0.0,1.0,0.0
47,56855,Abd_al-Karim_Qasim,0,20220601111819,"[0, 0, 0, 1, 0, 0, 2, 1, 1, 1, 0, 1, 0, 0, 0]",0.4666666666666667,0.0,7.0,6.0
48,56725,Abdallah_Ibrahim,0,20220527115248,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0]",0.26666666666666666,0.0,4.0,10.0
49,57342,Abdalá_Bucaram,0,20220623143944,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",0.07142857142857142,0.0,1.0,10.0
50,56743,Abdelhamid_Brahimi,0,20220528111836,"[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 3, 0, 0, 0]",0.35714285714285715,0.0,5.0,10.0
51,56649,Abdelhamid_Sharaf,0,20220523130326,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0]",0.25,0.0,3.0,10.0
52,54566,Abdoul_Mbaye,0,20220103193018,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",0.13333333333333333,0.0,2.0,0.0
53,56699,Abdoulaye_Idrissa_Maïga,0,20220525030259,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]",0.15384615384615385,0.0,2.0,10.0
54,56963,Abdoulaye_Sékou_Sow,0,20220605111800,"[0, 0, 0, 3, 0, 0, 0]",0.42857142857142855,0.0,3.0,3.0
55,59023,Abdul-Aziz_Abulapayevich_Abdulvahabov,0,20220918124750,"[1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.21428571428571427,0.0,3.0,1.0
56,57603,Abdul_Hamid_Dbeibeh,0,20220708180210,"[0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]",0.23529411764705882,0.0,4.0,2.0
57,56856,Abdul_Karim_Qassim,0,20220601112015,"[0, 1, 2, 0, 0]",0.6,0.0,3.0,2.0
58,57423,Abdul_Rahman_Khleifawi,0,20220626194401,"[0, 0, 0, 0, 0]",0.0,0.0,0.0,0.0
59,57422,Abdul_Rahman_Kleifawi,0,20220626194243,"[0, 3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.2857142857142857,0.0,4.0,1.0
60,59025,Abdullah_al-Thani,0,20220918213831,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,0.0,0.0
61,54554,Abdumalik_Abdullajanov,0,20220102163549,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2]",0.23076923076923078,0.0,3.0,12.0
62,56621,Abdur_Rahman_Biswas,0,20220522135857,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 0]",0.21428571428571427,0.0,3.0,11.0
63,56926,Abdus_Sattar,0,20220603113909,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0]",0.21428571428571427,0.0,3.0,7.0
64,54813,Abel-manjero,0,20220206142338,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.043478260869565216,0.0,1.0,3.0
65,60310,Abhazi,0,20221105155319,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",0.1111111111111111,0.0,2.0,7.0
66,60142,Abiso,0,20221024143049,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",0.18181818181818182,0.0,2.0,0.0
67,54764,Aborto,0,20220129131445,"[0, 2, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 1, 1, 0, 2, 2, 6, 1, 11, 4, 7, 4, 4, 9, 5]",2.064516129032258,1.0,64.0,24.0
68,58980,Absolute_Championship_Akhmat,0,20220917132852,"[14, 3, 0, 1, 1, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0]",1.5333333333333334,0.0,23.0,0.0
69,58982,Absolute_Championship_Berkut,0,20220917133046,"[1, 0, 0, 0, 0, 0]",0.16666666666666666,0.0,1.0,0.0
70,58865,Abstraktismo,0,20220911115158,"[0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",0.21052631578947367,0.0,4.0,4.0
71,59019,Abubakar_Romanovich_Vagayev,0,20220918111018,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.08333333333333333,0.0,1.0,1.0
72,60884,Abuhava_(Orsha),0,20221127225007,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.08333333333333333,0.0,1.0,0.0
73,54602,Abéché,0,20220110095535,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,0.0,0.0
74,58583,Acefaleso,0,20220904144114,"[1, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0]",0.36363636363636365,0.0,4.0,6.0
75,58222,Acianea,0,20220817160736,"[2, 2, 1, 1, 0, 0, 1, 0, 1, 1, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 0]",0.6190476190476191,0.0,13.0,11.0
