country,views,rank,views_ceil,lang
US,1000000000-9999999999,1,3194571000,en
GB,100000000-999999999,2,883167000,en
IN,100000000-999999999,3,734491000,en
CA,100000000-999999999,4,386835000,en
AU,100000000-999999999,5,240218000,en
DE,100000000-999999999,6,150483000,en
PH,100000000-999999999,7,131395000,en
NL,10000000-99999999,8,82546000,en
ID,10000000-99999999,9,77209000,en
FR,10000000-99999999,10,72521000,en
IR,10000000-99999999,11,71290000,en
IT,10000000-99999999,12,69435000,en
MY,10000000-99999999,13,66850000,en
IE,10000000-99999999,14,66210000,en
BR,10000000-99999999,15,63368000,en
SE,10000000-99999999,16,63264000,en
PL,10000000-99999999,17,60377000,en
SG,10000000-99999999,18,58201000,en
ZA,10000000-99999999,19,55053000,en
NZ,10000000-99999999,20,51796000,en
ES,10000000-99999999,21,50597000,en
PK,10000000-99999999,22,49860000,en
RU,10000000-99999999,23,47914000,en
JP,10000000-99999999,24,41371000,en
FI,10000000-99999999,25,38869000,en
NG,10000000-99999999,26,38733000,en
MX,10000000-99999999,27,37502000,en
TR,10000000-99999999,28,37496000,en
BD,10000000-99999999,29,37222000,en
RO,10000000-99999999,30,36880000,en
GR,10000000-99999999,31,35486000,en
BE,10000000-99999999,32,33534000,en
TH,10000000-99999999,33,31969000,en
NO,10000000-99999999,34,30699000,en
DK,10000000-99999999,35,30358000,en
HK,10000000-99999999,36,27986000,en
AE,10000000-99999999,37,27496000,en
CH,10000000-99999999,38,27434000,en
IL,10000000-99999999,39,26483000,en
HU,10000000-99999999,40,25570000,en
RS,10000000-99999999,41,24878000,en
CZ,10000000-99999999,42,24574000,en
PT,10000000-99999999,43,22966000,en
VN,10000000-99999999,44,21877000,en
KR,10000000-99999999,45,21860000,en
AT,10000000-99999999,46,21157000,en
HR,10000000-99999999,47,19808000,en
SA,10000000-99999999,48,19387000,en
BG,10000000-99999999,49,18778000,en
EG,10000000-99999999,50,18012000,en
TW,10000000-99999999,51,17219000,en
AR,10000000-99999999,52,16622000,en
UA,10000000-99999999,53,15605000,en
KE,10000000-99999999,54,14844000,en
LK,10000000-99999999,55,14392000,en
NP,10000000-99999999,56,11713000,en
SK,10000000-99999999,57,11484000,en
CL,10000000-99999999,58,10869000,en
CO,10000000-99999999,59,10817000,en
SI,10000000-99999999,60,10801000,en
LT,1000000-9999999,61,9991000,en
EE,1000000-9999999,62,8414000,en
MA,1000000-9999999,63,7559000,en
GH,1000000-9999999,64,7473000,en
PE,1000000-9999999,65,7428000,en
BA,1000000-9999999,66,7175000,en
GE,1000000-9999999,67,6606000,en
LV,1000000-9999999,68,6283000,en
IQ,1000000-9999999,69,6150000,en
MK,1000000-9999999,70,6074000,en
PR,1000000-9999999,71,5975000,en
QA,1000000-9999999,72,5635000,en
DZ,1000000-9999999,73,5561000,en
ET,1000000-9999999,74,5341000,en
KZ,1000000-9999999,75,4749000,en
AZ,1000000-9999999,76,4624000,en
TZ,1000000-9999999,77,4614000,en
KW,1000000-9999999,78,4520000,en
MM,1000000-9999999,79,4359000,en
CY,1000000-9999999,80,4292000,en
IS,1000000-9999999,81,4123000,en
AL,1000000-9999999,82,4041000,en
VE,1000000-9999999,83,3991000,en
KH,1000000-9999999,84,3802000,en
LB,1000000-9999999,85,3755000,en
CR,1000000-9999999,86,3696000,en
MT,1000000-9999999,87,3589000,en
--,1000000-9999999,88,3585000,en
DO,1000000-9999999,89,3568000,en
UG,1000000-9999999,90,3564000,en
TN,1000000-9999999,91,3408000,en
JO,1000000-9999999,92,3363000,en
TT,1000000-9999999,93,3221000,en
UZ,1000000-9999999,94,3179000,en
LU,1000000-9999999,95,3176000,en
JM,1000000-9999999,96,3125000,en
BY,1000000-9999999,97,3067000,en
AM,1000000-9999999,98,2949000,en
EC,1000000-9999999,99,2930000,en
BH,1000000-9999999,100,2750000,en
OM,1000000-9999999,101,2666000,en
MU,1000000-9999999,102,2531000,en
UY,1000000-9999999,103,2450000,en
MD,1000000-9999999,104,2376000,en
PA,1000000-9999999,105,2362000,en
MN,1000000-9999999,106,2182000,en
ME,1000000-9999999,107,2101000,en
ZM,1000000-9999999,108,2085000,en
XK,1000000-9999999,109,2066000,en
GT,1000000-9999999,110,1986000,en
ZW,1000000-9999999,111,1859000,en
BN,1000000-9999999,112,1730000,en
SD,1000000-9999999,113,1464000,en
BO,1000000-9999999,114,1431000,en
HN,1000000-9999999,115,1379000,en
MV,1000000-9999999,116,1332000,en
CM,1000000-9999999,117,1229000,en
SV,1000000-9999999,118,1194000,en
SO,1000000-9999999,119,1180000,en
JE,1000000-9999999,120,1117000,en
BS,1000000-9999999,121,1088000,en
IM,1000000-9999999,122,1071000,en
PY,1000000-9999999,123,1065000,en
LY,1000000-9999999,124,1040000,en
BB,1000000-9999999,125,1026000,en
RW,1000000-9999999,126,1024000,en
PS,1000000-9999999,127,1018000,en
NA,100000-999999,128,942000,en
KG,100000-999999,129,942000,en
BW,100000-999999,130,898000,en
